OrganisationLabel,OrganisationURI,PublishedDate,DurationFrom,DurationTo,LatestData,Period,GeoEntityName,GeoCode,GeoName,GeoURI,Persons_Number_DeathsAge10AndOver,Persons_DASR_DeathsAge10AndOver,Females_Number_DeathsAge10AndOver,Females_DASR_DeathsAge10AndOver,Males_Number_DeathsAge10AndOver,Males_DASR_DeathsAge10AndOver
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2016-01-01T00:00:00,2018-12-31T23:59:59,TRUE,2016-2018,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,208,10.4,51,5,157,16.2
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2016-01-01T00:00:00,2018-12-31T23:59:59,TRUE,2016-2018,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,12,6.5,1,,11,12.1
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2016-01-01T00:00:00,2018-12-31T23:59:59,TRUE,2016-2018,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,46,12.7,12,6.5,34,19.3
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2016-01-01T00:00:00,2018-12-31T23:59:59,TRUE,2016-2018,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,39,15.1,3,,36,27.4
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2016-01-01T00:00:00,2018-12-31T23:59:59,TRUE,2016-2018,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,22,7.5,6,,16,11.2
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2016-01-01T00:00:00,2018-12-31T23:59:59,TRUE,2016-2018,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,28,10.7,9,,19,15.2
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2016-01-01T00:00:00,2018-12-31T23:59:59,TRUE,2016-2018,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,32,8.6,11,5.9,21,12
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2016-01-01T00:00:00,2018-12-31T23:59:59,TRUE,2016-2018,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,29,11.5,9,,20,16.1
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2015-01-01T00:00:00,2017-12-31T23:59:59,,2015-2017,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,195,9.8,54,5.2,141,14.8
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2015-01-01T00:00:00,2017-12-31T23:59:59,,2015-2017,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,15,8.2,4,0,11,12.3
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2015-01-01T00:00:00,2017-12-31T23:59:59,,2015-2017,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,43,11.7,16,8.4,27,15.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-10-10T00:00:00,2015-01-01T00:00:00,2017-12-31T23:59:59,,2015-2017,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,32,11.5,5,0,27,19
